Date,Open,High,Low,Close,Volume,Currency
2019-01-01,3709.5,3814.3,3664.4,3809.4,469107,USD
2019-01-02,3809.7,3894.8,3768.1,3873.8,554471,USD
2019-01-03,3874.1,3875.8,3753.0,3780.1,450319,USD
2019-01-04,3780.5,3823.9,3720.0,3802.7,488698,USD
2019-01-05,3802.8,3846.7,3769.0,3785.4,468449,USD
2019-01-06,3785.7,4034.1,3758.5,4004.1,529893,USD
2019-01-07,4004.3,4028.0,3945.5,3985.9,500878,USD
2019-01-08,3985.8,4070.5,3943.1,3971.0,514081,USD
2019-01-09,3971.0,4014.2,3957.5,3978.0,473418,USD
2019-01-10,3978.9,4007.7,3562.1,3603.7,697305,USD
2019-01-11,3603.3,3655.7,3563.1,3616.5,551644,USD
2019-01-12,3616.6,3633.9,3561.3,3597.2,435062,USD
2019-01-13,3597.3,3617.6,3473.2,3490.2,452793,USD
2019-01-14,3490.4,3672.0,3490.4,3638.1,539926,USD
2019-01-15,3637.5,3660.8,3545.7,3571.3,544852,USD
2019-01-16,3570.6,3644.1,3561.4,3588.0,487344,USD
2019-01-17,3588.1,3636.7,3554.8,3626.4,525103,USD
2019-01-18,3626.3,3627.9,3575.7,3605.6,488157,USD
2019-01-19,3605.8,3715.2,3604.1,3677.8,537057,USD
2019-01-20,3676.2,3699.1,3503.9,3542.3,563313,USD
2019-01-21,3542.7,3561.4,3505.4,3536.7,394174,USD
2019-01-22,3536.9,3607.9,3465.2,3580.1,447702,USD
2019-01-23,3580.1,3608.3,3532.8,3561.5,445873,USD
2019-01-24,3561.4,3587.0,3539.7,3574.3,428601,USD
2019-01-25,3574.3,3582.6,3542.2,3572.0,448885,USD
2019-01-26,3572.0,3652.5,3556.1,3570.9,432549,USD
2019-01-27,3570.9,3583.2,3509.2,3555.6,464016,USD
2019-01-28,3555.8,3561.2,3395.7,3442.8,620849,USD
2019-01-29,3442.8,3450.1,3368.2,3414.8,585460,USD
2019-01-30,3414.6,3479.0,3394.2,3460.0,600249,USD
2019-01-31,3460.0,3484.7,3427.0,3437.2,477074,USD
2019-02-01,3437.7,3485.7,3415.3,3467.9,481576,USD
2019-02-02,3467.9,3514.5,3447.8,3502.5,443598,USD
2019-02-03,3502.3,3507.8,3431.3,3459.1,451659,USD
2019-02-04,3459.0,3479.7,3437.1,3462.8,503923,USD
2019-02-05,3463.0,3485.9,3450.3,3468.4,460953,USD
2019-02-06,3468.5,3478.0,3383.9,3404.3,514208,USD
2019-02-07,3404.9,3421.8,3390.3,3397.7,471356,USD
2019-02-08,3397.3,3721.1,3382.5,3661.7,699228,USD
2019-02-09,3661.6,3675.3,3633.2,3661.4,454795,USD
2019-02-10,3661.0,3680.6,3617.1,3679.0,501896,USD
2019-02-11,3678.8,3681.1,3623.8,3631.8,517276,USD
